record_num,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,country
37,0.00796,https://api.spotify.com/v1/audio-analysis/5Lb1pjnll07UQKxNpnnGBy,0.787,181587,0.751,5Lb1pjnll07UQKxNpnnGBy,0.000139,6,0.0857,-4.738,0,0.0865,165.961,4,https://api.spotify.com/v1/tracks/5Lb1pjnll07UQKxNpnnGBy,audio_features,spotify:track:5Lb1pjnll07UQKxNpnnGBy,0.926,Argentina
38,0.42,https://api.spotify.com/v1/audio-analysis/3dLiBBKbeUIhzGNeuo5JGS,0.641,244771,0.652,3dLiBBKbeUIhzGNeuo5JGS,1.74e-06,8,0.094,-8.575,0,0.264,175.022,4,https://api.spotify.com/v1/tracks/3dLiBBKbeUIhzGNeuo5JGS,audio_features,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,0.406,Argentina
39,0.214,https://api.spotify.com/v1/audio-analysis/22sESxzbY1O1E19xjOTaYf,0.531,177787,0.752,22sESxzbY1O1E19xjOTaYf,0.0,9,0.145,-3.33,0,0.2,192.443,4,https://api.spotify.com/v1/tracks/22sESxzbY1O1E19xjOTaYf,audio_features,spotify:track:22sESxzbY1O1E19xjOTaYf,0.884,Argentina
40,0.323,https://api.spotify.com/v1/audio-analysis/3CACzG9I3AoKUKA3ODE5zW,0.419,238528,0.809,3CACzG9I3AoKUKA3ODE5zW,0.0,11,0.699,-4.596,1,0.0357,88.418,4,https://api.spotify.com/v1/tracks/3CACzG9I3AoKUKA3ODE5zW,audio_features,spotify:track:3CACzG9I3AoKUKA3ODE5zW,0.635,Argentina
41,0.14,https://api.spotify.com/v1/audio-analysis/2vrpcQNg6itmgVZWsNjWe0,0.773,163813,0.378,2vrpcQNg6itmgVZWsNjWe0,0.0,1,0.133,-7.062,0,0.0531,94.946,4,https://api.spotify.com/v1/tracks/2vrpcQNg6itmgVZWsNjWe0,audio_features,spotify:track:2vrpcQNg6itmgVZWsNjWe0,0.513,Argentina
42,0.29,https://api.spotify.com/v1/audio-analysis/703iVQrfbQsXt7Uzgy1h8k,0.411,201627,0.508,703iVQrfbQsXt7Uzgy1h8k,0.0,5,0.123,-4.342,1,0.0557,81.96,3,https://api.spotify.com/v1/tracks/703iVQrfbQsXt7Uzgy1h8k,audio_features,spotify:track:703iVQrfbQsXt7Uzgy1h8k,0.668,Argentina
43,0.108,https://api.spotify.com/v1/audio-analysis/43Q1jBoHh3pQkh3Oy7TA1g,0.784,204989,0.761,43Q1jBoHh3pQkh3Oy7TA1g,5.05e-05,10,0.05,-4.253,0,0.0343,105.005,4,https://api.spotify.com/v1/tracks/43Q1jBoHh3pQkh3Oy7TA1g,audio_features,spotify:track:43Q1jBoHh3pQkh3Oy7TA1g,0.385,Argentina
44,0.121,https://api.spotify.com/v1/audio-analysis/7fODjB7BrQTGqh0hogW6XD,0.648,305962,0.661,7fODjB7BrQTGqh0hogW6XD,2.33e-06,11,0.12,-5.027,1,0.195,113.363,5,https://api.spotify.com/v1/tracks/7fODjB7BrQTGqh0hogW6XD,audio_features,spotify:track:7fODjB7BrQTGqh0hogW6XD,0.813,Argentina
45,0.0598,https://api.spotify.com/v1/audio-analysis/7mWFF4gPADjTQjC97CgFVt,0.785,235284,0.572,7mWFF4gPADjTQjC97CgFVt,0.0,2,0.218,-7.504,1,0.123,100.016,4,https://api.spotify.com/v1/tracks/7mWFF4gPADjTQjC97CgFVt,audio_features,spotify:track:7mWFF4gPADjTQjC97CgFVt,0.49,Argentina
46,0.189,https://api.spotify.com/v1/audio-analysis/2O0WiTabKj4e5CdY1mIFe4,0.754,198377,0.77,2O0WiTabKj4e5CdY1mIFe4,2.36e-06,9,0.0945,-5.129,0,0.0665,92.004,4,https://api.spotify.com/v1/tracks/2O0WiTabKj4e5CdY1mIFe4,audio_features,spotify:track:2O0WiTabKj4e5CdY1mIFe4,0.513,Argentina
47,0.186,https://api.spotify.com/v1/audio-analysis/390MTexWq1Evy5eb0fMy1C,0.437,301647,0.81,390MTexWq1Evy5eb0fMy1C,0.0,10,0.371,-7.004,0,0.0518,137.542,4,https://api.spotify.com/v1/tracks/390MTexWq1Evy5eb0fMy1C,audio_features,spotify:track:390MTexWq1Evy5eb0fMy1C,0.315,Argentina
48,0.119,https://api.spotify.com/v1/audio-analysis/29Nzo1DUgMGtxU6op3ZI9n,0.928,196204,0.426,29Nzo1DUgMGtxU6op3ZI9n,0.0,2,0.0842,-9.252,1,0.209,137.064,4,https://api.spotify.com/v1/tracks/29Nzo1DUgMGtxU6op3ZI9n,audio_features,spotify:track:29Nzo1DUgMGtxU6op3ZI9n,0.264,Argentina
49,0.413,https://api.spotify.com/v1/audio-analysis/6ANR2ylLSFSYcycw8JUnvi,0.715,208103,0.691,6ANR2ylLSFSYcycw8JUnvi,0.0,4,0.166,-5.405,0,0.111,93.024,4,https://api.spotify.com/v1/tracks/6ANR2ylLSFSYcycw8JUnvi,audio_features,spotify:track:6ANR2ylLSFSYcycw8JUnvi,0.381,Argentina
